ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
1,Alley Resurfacing Menu,N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE,2016,49194.36,N NOBLE ST & W OHIO ST,N ADA ST & W OHIO ST,N NOBLE ST & W GRAND AVE,N ADA ST & W GRAND AVE,41.89248852800006,-87.66230107699994,census,41.8925161,-87.6608067,google,41.891041,-87.6622827,google,41.8910592,-87.6607631,google
1,Alley Speed Hump Menu,N PAULINA ST & N ASHLAND AV & W JULIAN ST & W BEACH AV,2008,500,N PAULINA ST & W JULIAN ST,N ASHLAND AV & W JULIAN ST,N PAULINA ST & W BEACH AV,N ASHLAND AV & W BEACH AV,41.908333,-87.6700519,google,41.908359044000065,-87.66762340799994,census,41.9075798,-87.6700349,google,41.9075948,-87.6676808,google
1,Concrete Alley Menu,W PIERCE AV & W LE MOYNE ST & N ASHLAND AV & N PAULINA ST,2009,63000,N PAULINA ST & W PIERCE AV,N ASHLAND AV & W LE MOYNE ST,N PAULINA ST & W LE MOYNE ST,N ASHLAND AV & W PIERCE AV,41.90983836200007,-87.67010769899997,census,41.9088222,-87.6675874,google,41.9090797,-87.6700788,google,41.9098625,-87.6676226,google
1,Alley Speed Hump Menu,N ASHLAND AVE & N PAULINA ST & W DIVISION ST & N MILWAUKEE AVE,2011,2200,N PAULINA ST & W DIVISION ST,N MILWAUKEE AVE & W DIVISION ST,N ASHLAND AVE & N MILWAUKEE AVE,N ASHLAND AVE & W DIVISION ST; N PAULINA ST & N MILWAUKEE AVE,41.9032963,-87.6699345,google,41.9033511,-87.6664433,google,41.9040756,-87.6675911,google,41.9035994,-87.6673332,google
1,Alley Speed Hump Menu,N ASHLAND AVE & W LE MOYNE ST & N PAULINA ST & W JULIAN ST,2014,700,N PAULINA ST & W JULIAN ST,N ASHLAND AVE & W LE MOYNE ST,N PAULINA ST & W LE MOYNE ST,N ASHLAND AVE & W JULIAN ST,41.908333,-87.6700519,google,41.9088222,-87.6675874,google,41.9090797,-87.6700788,google,41.9083559,-87.66758,google
1,Concrete Alley Menu,W NORTH AV & W LE MOYNE ST & N BELL AV & N LEAVITT ST,2009,245000,N LEAVITT ST & W NORTH AV,N BELL AV & W LE MOYNE ST,N LEAVITT ST & W LE MOYNE ST,N BELL AV & W NORTH AV,41.91039310700006,-87.68234423599995,census,41.908548,-87.6835038,google,41.9085664,-87.6822996,google,41.9103779,-87.6835542,google
1,Alley Speed Hump Menu,N LEAVITT ST & N BELL AV & W HIRSCH ST & W POTOMAC AV,2007,1000,N LEAVITT ST & W HIRSCH ST,N BELL AV & W HIRSCH ST,N LEAVITT ST & W POTOMAC AV,N BELL AV & W POTOMAC AV,41.906737,-87.682242,google,41.9067288,-87.6834486,google,41.9049164,-87.6821928,google,41.9048886,-87.6834124,google
1,Alley Speed Hump Menu,N BINGHAM ST & W ARMITAGE AVE & N STAVE ST & W FRANCIS PL,2014,700,N STAVE ST & W FRANCIS PL,N BINGHAM ST & W ARMITAGE AVE,N STAVE ST & W ARMITAGE AVE,N BINGHAM ST & W FRANCIS PL,41.919349416000045,-87.69425114199998,census,41.917552526000065,-87.69043224899997,census,41.9175498,-87.6913267,google,41.91970718600004,-87.69384111299996,census
1,Alley Resurfacing Menu (1-1),W CHICAGO AVE & N BISHOP ST & W FRY ST & N GREENVIEW AVE,2017,12838.1,N GREENVIEW AVE & W FRY ST,N BISHOP ST & W CHICAGO AVE,N GREENVIEW AVE & W CHICAGO AVE,N BISHOP ST & W FRY ST,41.89699080200006,-87.66493008399999,census,41.8961312,-87.6640421,google,41.896103,-87.6648872,google,41.897028,-87.6636866,google
1,Alley Resurface Menu,N ASHLAND AV & W NORTH AV & W LE MOYNE ST & N BOSWORTH AV,2006,16158,N ASHLAND AV & W NORTH AV,N BOSWORTH AV & W NORTH AV,N ASHLAND AV & W LE MOYNE ST,N BOSWORTH AV & W LE MOYNE ST,41.91063028000008,-87.66769174599995,census,41.91065037900006,-87.66649783999998,census,41.9088222,-87.6675874,google,41.90883741000005,-87.66642146199996,census
1,Alley Resurface Menu,N MOZART ST & N CALIFORNIA AV & W WABANSIA AV & W BLOOMINGDALE AV,2006,12145,N MOZART ST & W WABANSIA AV,N CALIFORNIA AV & W WABANSIA AV,N MOZART ST & W BLOOMINGDALE AV,N CALIFORNIA AV & W BLOOMINGDALE AV,41.9123535,-87.6980612,google,41.9123658,-87.6970474,google,41.9139485,-87.6981121,google,41.9139305,-87.6970969,google
1,Alley Speed Hump Menu,W THOMAS ST & W CORTEZ ST & N WASHTENAW AVE & N CALIFORNIA AVE,2013,2800,N WASHTENAW AVE & W THOMAS ST,N CALIFORNIA AVE & W THOMAS ST,N WASHTENAW AVE & W CORTEZ ST,N CALIFORNIA AVE & W CORTEZ ST,41.901131286000066,-87.69436771899996,census,41.9010957,-87.6968528,google,41.900218,-87.6943313,google,41.9001914,-87.6968045,google
1,Alley Resurface Menu,N CAMPBELL AV & W DIVERSEY AV & N MAPLEWOOD AV & W GEORGE ST,2010,1129,N MAPLEWOOD AV & W DIVERSEY AV,N CAMPBELL AV & W GEORGE ST,N MAPLEWOOD AV & W GEORGE ST,N CAMPBELL AV & W DIVERSEY AV,41.93214069700008,-87.69156585699994,census,41.9339653,-87.6903962,google,41.9339598,-87.6916339,google,41.9321469,-87.6903494,google
1,Alley Speed Hump Menu,W THOMAS ST & W HADDON AV & N WESTERN AV & N CAMPBELL AV,2005,3500,N WESTERN AV & W THOMAS ST,N CAMPBELL AV & W THOMAS ST,N WESTERN AV & W HADDON AV,N CAMPBELL AV & W HADDON AV,41.90120364400008,-87.68697514599995,census,41.9011851,-87.6894377,google,41.902088019000075,-87.68700328499995,census,41.90206390000003,-87.68946345599994,census
1,Alley Speed Hump Menu,W CORTLAND ST & W HOMER ST & N WESTERN AV & N CAMPBELL AV,2006,1000,N WESTERN AV & W CORTLAND ST,N CAMPBELL AV & W CORTLAND ST,N WESTERN AV & W HOMER ST,N CAMPBELL AV & W HOMER ST,41.91576367600004,-87.68736105499994,census,41.9157371,-87.6898022,google,41.91667619100008,-87.687385173999985,census,41.916652071000044,-87.68982926599995,census
1,Alley Speed Hump Menu,W CORTLAND ST & W MOFFAT ST & N WESTERN AV & N CAMPBELL AV,2006,2500,N WESTERN AV & W CORTLAND ST,N CAMPBELL AV & W CORTLAND ST,N WESTERN AV & W MOFFAT ST,N CAMPBELL AV & W MOFFAT ST,41.91576367600004,-87.68736105499994,census,41.9157371,-87.6898022,google,41.9148479,-87.6874059,google,41.914835082000025,-87.68978102699998,census
1,Alley Speed Hump Menu,N CAMPBELL AV & N MAPLEWOOD AV & W NORTH AV & W WABANSIA AV,2005,3500,N MAPLEWOOD AV & W WABANSIA AV,N CAMPBELL AV & W NORTH AV,N MAPLEWOOD AV & W NORTH AV,N CAMPBELL AV & W WABANSIA AV,41.91210557900007,-87.69093071499998,census,41.9103377,-87.6896565,google,41.9103267,-87.6908796,google,41.9121071,-87.6897118,google
1,Alley Speed Hump Menu,W NORTH AV & W LE MOYNE ST & N CLAREMONT AV & N OAKLEY AV,2008,525,N OAKLEY AV & W LE MOYNE ST,N CLAREMONT AV & W NORTH AV,N OAKLEY AV & W NORTH AV,N CLAREMONT AV & W LE MOYNE ST,41.908531899000025,-87.68473204899999,census,41.9103382,-87.6860007,google,41.9103464,-87.6847739,google,41.9085041,-87.685943,google
1,Alley Speed Hump Menu,W HIRSCH ST & W POTOMAC AV & N CLAREMONT AV & N OAKLEY AV,2008,1050,N OAKLEY AV & W POTOMAC AV,N CLAREMONT AV & W HIRSCH ST,N OAKLEY AV & W HIRSCH ST,N CLAREMONT AV & W POTOMAC AV,41.904881841000076,-87.68463155199998,census,41.9066869,-87.685888,google,41.9067079,-87.6846704,google,41.904851,-87.6858541,google
1,Alley Resurfacing Menu,N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & W LE MOYNE ST,2012,6354,N WESTERN AVE & W NORTH AVE,N CLAREMONT AVE & W NORTH AVE,N WESTERN AVE & W LE MOYNE ST,N CLAREMONT AVE & W LE MOYNE ST,41.910324769000056,-87.68722035899998,census,41.91034084800003,-87.68599429299996,census,41.9084905,-87.6872284,google,41.9085041,-87.685943,google
1,Alley Speed Hump Menu,N NOBLE ST & N CLEAVER ST & W DIVISION ST & W POTOMAC AV,2005,3500,N NOBLE ST & W DIVISION ST,N CLEAVER ST & W DIVISION ST,N NOBLE ST & W POTOMAC AV,N CLEAVER ST & W POTOMAC AV,41.90341056200003,-87.66262668799999,census,41.90339046300005,-87.66382863499996,census,41.9052092,-87.6626576,google,41.90519539200005,-87.66388089299994,census
1,Alley Speed Hump Menu,N DAMEN AV & W EVERGREEN AV & W SCHILLER ST & W EVERGREEN AV,2007,1000,NA,NA,N DAMEN AV & W EVERGREEN AV,N DAMEN AV & W SCHILLER ST,NA,NA,,NA,NA,,41.9060102,-87.6773251,google,41.9071411,-87.6773669,google
1,Alley Speed Hump Menu,W DIVISION ST & W THOMAS ST & N DAMEN AV & N WINCHESTER AV,2008,525,N WINCHESTER AV & W THOMAS ST,N DAMEN AV & W DIVISION ST,N WINCHESTER AV & W DIVISION ST,N DAMEN AV & W THOMAS ST,41.90139257900006,-87.67598075399997,census,41.9031834,-87.6772657,google,41.9032126,-87.6760461,google,41.9013968,-87.677224,google
1,Alley Resurface Menu,N DAMEN AVE & N HOYNE AVE & W EVERGREEN AVE & W POTOMAC AVE,2011,22456,N HOYNE AVE & W EVERGREEN AVE,N DAMEN AVE & W POTOMAC AVE,N HOYNE AVE & W POTOMAC AVE,N DAMEN AVE & W EVERGREEN AVE,41.90597525000004,-87.67977954799994,census,41.9049878,-87.6773028,google,41.9049579,-87.679734,google,41.9060102,-87.6773251,google
1,Alley Resurfacing Menu,W LE MOYNE ST & N DAMEN AVE & W PIERCE AVE & N HOYNE AVE,2018,37924.7,N HOYNE AVE & W LE MOYNE ST,N DAMEN AVE & W PIERCE AVE,N HOYNE AVE & W PIERCE AVE,N DAMEN AVE & W LE MOYNE ST,41.90821432800004,-87.67984386599994,census,41.9093633,-87.6774202,google,41.9093152,-87.6798713,google,41.9082543,-87.6773976,google
1,Miscellaneous-CDOT,N DAMEN AVE & W DIVISION ST & W LOGAN BLVD & N MILWAUKEE,2010,55300,N MILWAUKEE & W LOGAN BLVD,N DAMEN AVE & W DIVISION ST,N MILWAUKEE & W DIVISION ST,N DAMEN AVE & W LOGAN BLVD,41.9287538,-87.7068816,google,41.9031834,-87.6772657,google,41.9033511,-87.6664433,google,41.9505032,-87.6786568,google
1,Alley Resurfacing Menu (1-1),W OHIO ST & N DAMEN AVE & W RACE AVE & N WOLCOTT AVE,2018,19090.16,N WOLCOTT AVE & W OHIO ST,N DAMEN AVE & W RACE AVE,N WOLCOTT AVE & W RACE AVE,N DAMEN AVE & W OHIO ST,41.892311653000036,-87.67450545499997,census,41.8915386,-87.6769182,google,41.8915763,-87.674487,google,41.8922671,-87.6769392,google
1,Alley Resurfacing Menu,N DAMEN AVE & W PIERCE AVE & N HOYNE AVE & W NORTH AVE,2018,8966.32,N HOYNE AVE & W PIERCE AVE,N DAMEN AVE & W NORTH AVE,N HOYNE AVE & W NORTH AVE,N DAMEN AVE & W PIERCE AVE,41.909327837000035,-87.67987200499994,census,41.9104738,-87.677496,google,41.9104277,-87.6799027,google,41.9093633,-87.6774202,google
1,Alley Speed Hump Menu,N HONORE ST & N WOOD ST & W NORTH AV & N ELK GROVE AV,2005,3500,NA,N HONORE ST & W NORTH AV,N WOOD ST & W NORTH AV,N ELK GROVE AV & W NORTH AV,NA,NA,,41.9105436,-87.6738036,google,41.91056194200007,-87.67257590899999,census,41.91052576300007,-87.67501598099994,census
1,Alley Speed Hump Menu,N ROCKWELL ST & N MAPLEWOOD AV & W GEORGE ST & N ELSTON AV,2008,1500,NA,N ROCKWELL ST & W GEORGE ST,N MAPLEWOOD AV & W GEORGE ST,N ELSTON AV & W GEORGE ST,NA,NA,,41.9339324,-87.6927914,google,41.9339598,-87.6916339,google,41.9339653,-87.6903962,google
1,Alley Resurface Menu,W DIVISION ST & N GREENVIEW AV & W BLACKHAWK ST & N BOSWORTH AV,2005,5361,N BOSWORTH AV & W BLACKHAWK ST,N GREENVIEW AV & W DIVISION ST,N BOSWORTH AV & W DIVISION ST,N GREENVIEW AV & W BLACKHAWK ST,41.907008362000056,-87.66632096499995,census,41.903358,-87.6650539,google,41.9033584,-87.6661659,google,41.90702846100004,-87.66515117699998,census
1,Concrete Alley Menu,W WALTON ST & W CHESTNUT ST & N GREENVIEW AV & N ASHLAND AV,2009,54000,N ASHLAND AV & W WALTON ST,N GREENVIEW AV & W CHESTNUT ST,N ASHLAND AV & W CHESTNUT ST,N GREENVIEW AV & W WALTON ST,41.89857463800007,-87.66735809599999,census,41.8979437,-87.6648736,google,41.897891257000026,-87.66733799599996,census,41.89884397000003,-87.66491802399997,census
1,Alley Resurface Menu,N WOOD ST & N HERMITAGE AV & N MILWAUKEE AV & RAILROAD TRACKS,2008,12094,NA,NA,N WOOD ST & N MILWAUKEE AV,N HERMITAGE AV & N MILWAUKEE AV,NA,NA,,NA,NA,,41.9064805,-87.6713726,google,41.9059877,-87.6705955,google
1,Alley Resurface Menu,N HERMITAGE AV & N PAULINA ST & N MILWAUKEE AV & RAILROAD TRACKS,2008,19792,N PAULINA ST & N MILWAUKEE AV,NA,NA,N HERMITAGE AV & N MILWAUKEE AV,41.905267750000064,-87.66945647699998,census,NA,NA,,NA,NA,,41.9059877,-87.6705955,google
1,Alley Speed Hump Menu,W AUGUSTA BV & N WOOD ST & W CORTEZ ST & N HERMITAGE AV,2006,1000,N WOOD ST & W AUGUSTA BV,N HERMITAGE AV & W AUGUSTA BV,N WOOD ST & W CORTEZ ST,N HERMITAGE AV & W CORTEZ ST,41.899635888000034,-87.67227843799998,census,41.8996527,-87.6710466,google,41.900962451000055,-87.67231863699999,census,41.90098255000004,-87.67109659099998,census
1,Alley Speed Hump Menu,W HADDOCK PL & W CORTEZ ST & N HERMITAGE AV & N WOOD ST,2008,500,N WOOD ST & W CORTEZ ST,N HERMITAGE AV & W HADDOCK PL,N WOOD ST & W HADDOCK PL,N HERMITAGE AV & W CORTEZ ST,41.900962451000055,-87.67231863699999,census,41.8862764,-87.632744400000007,google,41.9082936,-87.6725169,google,41.90098255000004,-87.67109659099998,census
1,Alley Resurface Menu,N WOOD ST & N HERMITAGE AV & W POTOMAC AV & W ELLEN ST,2005,9898,N WOOD ST & W POTOMAC AV,N HERMITAGE AV & W POTOMAC AV,N WOOD ST & W ELLEN ST,N HERMITAGE AV & W ELLEN ST,41.904841642000065,-87.67241511399999,census,41.90485772200003,-87.67108453099996,census,41.9055623,-87.672421,google,41.9055663,-87.6711134,google
1,Alley Resurfacing Menu,N HERMITAGE AVE & W HADDON AVE & N PAULINA ST & W CORTEZ ST,2015,30538,N PAULINA ST & W CORTEZ ST,N HERMITAGE AVE & W HADDON AVE,N PAULINA ST & W HADDON AVE,N HERMITAGE AVE & W CORTEZ ST,41.90100667000007,-87.66987856499998,census,41.902216656000064,-87.67113678999993,census,41.902226,-87.6699137,google,41.90098255000004,-87.67109659099998,census
1,Alley Speed Hump Menu,N MILWAUKEE AVE & W EVERGREEN AVE & N HONORE ST & N WICKER PARK AVE,2013,1400,N MILWAUKEE AVE & W EVERGREEN AVE; N WICKER PARK AVE & N MILWAUKEE AVE,N HONORE ST & W EVERGREEN AVE,N WICKER PARK AVE & W EVERGREEN AVE,N HONORE ST & N MILWAUKEE AVE,41.9096503,-87.6777658,google,41.9060225,-87.6759169,google,41.907163,-87.6745954,google,41.9089911,-87.6752894,google
1,Concrete Alley Menu,N HONORE ST & N WOOD ST & W ELLEN ST & W DIVISION ST,2013,246000,N WOOD ST & W DIVISION ST,N HONORE ST & W ELLEN ST,N WOOD ST & W ELLEN ST,N HONORE ST & W DIVISION ST,41.90326986600007,-87.67237893499998,census,41.9055313,-87.673342,google,41.9055623,-87.672421,google,41.9032556,-87.6735915,google
1,Alley Speed Hump Menu,N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W IOWA ST,2012,2800,N WOOD ST & W AUGUSTA BLVD,N HONORE ST & W AUGUSTA BLVD,N WOOD ST & W IOWA ST,N HONORE ST & W IOWA ST,41.899635888000034,-87.67227843799998,census,41.89961578900005,-87.67348842399997,census,41.897814879000066,-87.67223019899996,census,41.89779076000008,-87.67343616499994,census
1,Alley Resurface Menu,W AUGUSTA BV & W IOWA ST & N WOOD ST & N HONORE ST,2009,35286,N WOOD ST & W AUGUSTA BV,N HONORE ST & W AUGUSTA BV,N WOOD ST & W IOWA ST,N HONORE ST & W IOWA ST,41.899635888000034,-87.67227843799998,census,41.89961578900005,-87.67348842399997,census,41.897814879000066,-87.67223019899996,census,41.89779076000008,-87.67343616499994,census
1,Alley Speed Hump Menu,N DAMEN AV & N HOYNE AV & W SCHILLER ST & W EVERGREEN AV,2008,500,N DAMEN AV & W SCHILLER ST,N HOYNE AV & W SCHILLER ST,N DAMEN AV & W EVERGREEN AV,N HOYNE AV & W EVERGREEN AV,41.90714503800007,-87.67737163499999,census,41.9070805,-87.6798069,google,41.9060102,-87.6773251,google,41.90597525000004,-87.67977954799994,census
1,Alley Resurface Menu,W FULLERTON AV & W ALTGELD ST & N MAPLEWOOD AV & N CAMPBELL AV,2005,18260,N CAMPBELL AV & W ALTGELD ST,N MAPLEWOOD AV & W FULLERTON AV,N CAMPBELL AV & W FULLERTON AV,N MAPLEWOOD AV & W ALTGELD ST,41.92669777000003,-87.69014683699999,census,41.92486470100005,-87.69149751899994,census,41.9248798,-87.6900857,google,41.92668571000007,-87.69136888299994,census
1,Concrete Alley Menu,N MAPLEWOOD AV & N CAMPBELL AV & W WABANSIA AV & W NORTH AV,2009,95000,N CAMPBELL AV & W WABANSIA AV,N MAPLEWOOD AV & W NORTH AV,N CAMPBELL AV & W NORTH AV,N MAPLEWOOD AV & W WABANSIA AV,41.912113618000035,-87.68970866899997,census,41.9103267,-87.6908796,google,41.9103377,-87.6896565,google,41.91210557900007,-87.69093071499998,census
1,Alley Speed Hump Menu,N ROCKWELL ST & N MAPLEWOOD AV & W BLOOMINGDALE AV & W WABANSIA AV,2007,500,N ROCKWELL ST & W BLOOMINGDALE AV,N MAPLEWOOD AV & W BLOOMINGDALE AV,N ROCKWELL ST & W WABANSIA AV,N MAPLEWOOD AV & W WABANSIA AV,41.913950707000026,-87.69220099899997,census,41.9139764,-87.6909721,google,41.9120954,-87.6921504,google,41.91210557900007,-87.69093071499998,census
1,Alley Resurface Menu,N ASHLAND AV & N MARSHFIELD AV & W PEARSON ST & W CHICAGO AV,2009,9290,N ASHLAND AV & W PEARSON ST,N MARSHFIELD AV & W PEARSON ST,N ASHLAND AV & W CHICAGO AV,N MARSHFIELD AV & W CHICAGO AV,41.89750132800003,-87.66732995599995,census,41.89731239300005,-87.66854798199995,census,41.8960679,-87.6673591,google,41.89605416900008,-87.66851180299994,census
