ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,31009,9,2026825.53926,8665.6895177,31,160.39659767562168,"c(-87.7492758, -87.7493292828167, 41.9373532, 41.9387951302586)"
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,31008,8,1779171.55994,6010.30561963,31,36.938580741543376,"c(-87.7493292828167, -87.7493416, 41.9387951302586, 41.9391272)"
1,Alley Speed Hump Menu,3505-3539 WARMITAGE AVE,2022,700,992,3505 WARMITAGE AVE,3539 WARMITAGE AVE,41.9171013,-87.7138167,google,41.9173171,-87.7151436,google,112.38139402831565,26037,37,1437418.54371,5704.85962864,26,112.38139402831565,"c(-87.7138167, -87.7151436, 41.9171013, 41.9173171)"
22,Alley Resurfacing Menu,2700-2758 S SAWYER AVE,2022,23520.15,19182,2700 S SAWYER AVE,2758 S SAWYER AVE,41.84253261500004,-87.70620477899996,census,41.84161049900007,-87.70617680899994,census,102.56095749072198,22015,15,10979768.4264,17349.8503576,22,102.56095749077315,"c(-87.706204779, -87.7061768089999, 41.842532615, 41.8416104990001)"
44,Alley Resurfacing Menu,3154-3184 N CLARKST,2021,7070.74333333333,38849,3154 N CLARKST,3184 N CLARKST,41.9391245,-87.650436,google,41.9398812,-87.6507725,google,88.6252093674507,44020,20,1626154.1392,6702.68023482,44,88.6252093674507,"c(-87.650436, -87.6507725, 41.9391245, 41.9398812)"
44,Alley Resurfacing Menu,850-918 W FLETCHER ST,2021,7070.74333333333,38849,850 W FLETCHER ST,918 W FLETCHER ST,41.9390004085188,-87.6511111005058,census,41.9389824257108,-87.6521589034221,census,86.69024138178477,44020,20,1626154.1392,6702.68023482,44,86.69024138179692,"c(-87.6511111005058, -87.6521589034221, 41.9390004085188, 41.9389824257108)"
44,Alley Resurfacing Menu,3236-3258 NSOUTHPORT AVE,2022,5672.35,38907,3236 NSOUTHPORT AVE,3258 NSOUTHPORT AVE,41.9408433,-87.6640231,google,41.9414839,-87.6641526,google,72.03238001175981,44009,9,1511470.38813,5649.08910102,44,72.03238001326707,"c(-87.6640231, -87.6641526, 41.9408433, 41.9414839)"
24,Alley Resurfacing Menu,735-757 SINDEPENDENCE BLVD,2022,17460.315,21281,735 SINDEPENDENCE BLVD,757 SINDEPENDENCE BLVD,41.8715551,-87.7193533,google,41.870967,-87.719362,google,65.39780662273748,24004,4,1530755.67942,5024.79692779,24,65.3978066217381,"c(-87.7193533, -87.719362, 41.8715551, 41.870967)"
39,Curb & Gutter Menu,6375-6399 N LEHIGH AVE,2021,16204.775,34619,6375 N LEHIGH AVE,6399 N LEHIGH AVE,41.99676501500005,-87.76545231299997,census,41.99730180000006,-87.76573231399999,census,64.01593799815677,39044,44,2689170.14436,8184.8486191,39,64.01593799859626,"c(-87.765452313, -87.765732314, 41.9967650150001, 41.9973018000001)"
26,Alley Resurfacing Menu,3524-3556 W NORTH AVE,2021,16751.2333333333,23069,3524 W NORTH AVE,3556 W NORTH AVE,41.91002186500003,-87.71518248599995,census,41.910015111000064,-87.71577678599994,census,49.18454142396638,26006,6,1129705.52169,4989.13990762,26,49.18454142396638,"c(-87.7151824859999, -87.7157767859999, 41.910021865, 41.9100151110001)"
44,Alley Resurfacing Menu,1244-1254 WADDISON ST,2022,6576.85,38908,1244 WADDISON ST,1254 WADDISON ST,41.9472545,-87.660761,google,41.9473091,-87.661315,google,46.21768032289705,44011,11,1289342.64638,5300.65599063,44,46.21768032289705,"c(-87.660761, -87.661315, 41.9472545, 41.9473091)"
50,Alley Resurfacing Menu,2801-2813 WDEVON AVE,2021,5642.81,43503,2801 WDEVON AVE,2813 WDEVON AVE,41.9972444,-87.699802,google,41.9974372,-87.7002002,google,39.27375158568105,50026,26,1842247.67161,7161.50285029,50,39.27375158568105,"c(-87.699802, -87.7002002, 41.9972444, 41.9974372)"
44,Alley Resurfacing Menu,3538-3550 N CLARK ST,2021,4608.785,38848,3538 N CLARK ST,3550 N CLARK ST,41.94642160700005,-87.65589492599997,census,41.94665197400008,-87.65607940099994,census,29.814940210552226,44038,38,1741165.82739,5567.10042446,44,29.814940210552226,"c(-87.655894926, -87.6560794009999, 41.946421607, 41.9466519740001)"
44,Alley Resurfacing Menu,3309-3321 N CLARK ST,2022,2762.315,38906,3309 N CLARK ST,3321 N CLARK ST,41.941980983000064,-87.65230553599997,census,41.94220891100008,-87.65248914399996,census,29.545885617864943,44020,20,1626154.1392,6702.68023482,44,29.545885617864943,"c(-87.652305536, -87.652489144, 41.9419809830001, 41.9422089110001)"
31,Alley Apron Menu,2811-2815 NLINDER AVE,2021,6577.91,27693,2811 NLINDER AVE,2815 NLINDER AVE,41.9317581,-87.7632018,google,41.9318271,-87.763514,google,26.941573713601553,31003,3,1775674.41848,5996.80635792,31,26.941573713601553,"c(-87.7632018, -87.763514, 41.9317581, 41.9318271)"
44,Sidewalk Menu,2935-2951 N SHEFFIELD AVE,2021,17817.455,38871,2935 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93549948400005,-87.65394654899995,census,41.93567464600005,-87.65395331299999,census,19.485190806316428,44014,14,1581454.52949,6275.41531215,44,19.485190805790474,"c(-87.653946549, -87.653953313, 41.9354994840001, 41.9356746460001)"
3,Alley Speed Hump Menu,516-538 E 44TH PL,2022,350,3175,516 E 44TH PL,538 E 44TH PL,41.813986011000054,-87.61303464199995,census,41.813989880000065,-87.61282106599998,census,17.705377536603997,03004,4,3228106.63215,8557.14243219,3,17.70537753554496,"c(-87.6130346419999, -87.612821066, 41.8139860110001, 41.8139898800001)"
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2021,2212.5,38869,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census,17.049047862958645,44014,14,1581454.52949,6275.41531215,44,17.049047862486116,"c(-87.653947522, -87.653953313, 41.9355213810001, 41.9356746460001)"
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2022,537.5,38913,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census,17.049047862958645,44014,14,1581454.52949,6275.41531215,44,17.049047862486116,"c(-87.653947522, -87.653953313, 41.9355213810001, 41.9356746460001)"
7,Miscellaneous CDOT Projects,8247-8251 SBUFFALO AVE,2021,150,5724,8247 SBUFFALO AVE,8251 SBUFFALO AVE,41.7452675,-87.5439552,google,41.745188,-87.5440184,google,10.278049544816593,07022,22,11538539.8763,15104.4067941,7,10.278049544362688,"c(-87.5439552, -87.5440184, 41.7452675, 41.745188)"
14,Sidewalk Menu,5244-5248 S NATOMA AVE,2022,9960.42,12987,5244 S NATOMA AVE,5248 S NATOMA AVE,41.79692667100005,-87.78805238199999,census,41.79686335800005,-87.78805050599999,census,7.041812893746711,14001,1,2649829.14561,6632.78358272,14,7.04181289321952,"c(-87.788052382, -87.788050506, 41.7969266710001, 41.7968633580001)"
9,Miscellaneous CDOT Projects,625-631 E 103RD ST,2022,187.5,7316,625 E 103RD ST,631 E 103RD ST,41.70739313800004,-87.60847717799999,census,41.70739419300003,-87.60840267999998,census,6.185412194653282,09013,13,2755534.24422,7283.24676822,9,6.185412194653282,"c(-87.608477178, -87.60840268, 41.707393138, 41.707394193)"
31,Street Light Upgrade Menu,2923-2925 N LONG AVE,2022,500,27780,2923 N LONG AVE,2925 N LONG AVE,41.93380106300003,-87.76141257199998,census,41.93385216300004,-87.76141443699998,census,5.684163598458277,31019,19,1334537.48541,4672.4567505000005,31,5.6841635979857,"c(-87.761412572, -87.761414437, 41.933801063, 41.933852163)"
40,Alley Resurfacing Menu,6100-6104 N SEELEY AVE,2022,6576.85,35444,6100 N SEELEY AVE,6104 N SEELEY AVE,41.99196419000003,-87.68110066399998,census,41.992006254000046,-87.68110208999997,census,4.678795207823002,40018,18,2626016.95913,6632.19779703,40,4.678795207878416,"c(-87.681100664, -87.68110209, 41.99196419, 41.992006254)"
7,Miscellaneous CDOT Projects,8256-8260 S BUFFALO AVE,2021,150,5724,8256 S BUFFALO AVE,8260 S BUFFALO AVE,41.74515860300005,-87.54428131199995,census,41.745127041000046,-87.54428062099998,census,3.5100079807470372,07022,22,11538539.8763,15104.4067941,7,3.5100079807470372,"c(-87.544281312, -87.544280621, 41.745158603, 41.745127041)"
5,Miscellaneous CDOT Projects,6504-6506 S GREENWOOD AVE,2022,187.5,4478,6504 S GREENWOOD AVE,6506 S GREENWOOD AVE,41.77663666300003,-87.59976647599996,census,41.77660551500003,-87.59976579199997,census,3.4639694122844684,05016,16,1872584.50588,6967.50304167,5,3.4639694117570534,"c(-87.599766476, -87.599765792, 41.776636663, 41.776605515)"
12,Sidewalk Menu,3426-3428 S BELL AVE,2021,4671.385,10301,3426 S BELL AVE,3428 S BELL AVE,41.83172157300004,-87.68142927999997,census,41.83169765400004,-87.68142850799995,census,2.660444616708917,12008,8,4029283.70755,13126.2216742,12,2.660444616182037,"c(-87.68142928, -87.681428508, 41.831721573, 41.831697654)"
47,Speed Indicator Signs,1466-1468 W IRVING PARK RD,2022,985.096666666667,41398,1466 W IRVING PARK RD,1468 W IRVING PARK RD,41.95433430000003,-87.66630227099995,census,41.95433396400006,-87.66632786799994,census,2.1170311113610216,47024,24,1581896.3235,6047.37864549,47,2.1170311123983816,"c(-87.6663022709999, -87.666327868, 41.9543343, 41.954333964)"
7,Miscellaneous CDOT Projects,8240-8242 S BUFFALO AVE,2021,150,5724,8240 S BUFFALO AVE,8242 S BUFFALO AVE,41.745284850000075,-87.54428407699999,census,41.745269069000074,-87.54428373099995,census,1.7550046676670061,07022,22,11538539.8763,15104.4067941,7,1.7550046686666216,"c(-87.544284077, -87.544283731, 41.7452848500001, 41.7452690690001)"
7,Miscellaneous CDOT Projects,8240-8242 S BURLEY AVE,2021,150,5723,8240 S BURLEY AVE,8242 S BURLEY AVE,41.74526877100004,-87.54549409499998,census,41.74525299000004,-87.54549375199997,census,1.7550006141599022,07022,22,11538539.8763,15104.4067941,7,1.755000613689937,"c(-87.545494095, -87.545493752, 41.745268771, 41.74525299)"
1,Alley Resurfacing Menu,2342-2346 W ALTGELD ST,2021,5081.48333333333,945,2342 W ALTGELD ST,2346 W ALTGELD ST,41.92644195900005,-87.68694205299994,census,41.92644195900005,-87.68695638899999,census,1.1860103761577196,01042,42,1691166.38837,8527.66083464,1,1.1860103761577196,"c(-87.6869420529999, -87.686956389, 41.926441959, 41.9264419590001)"
6,Sidewalk Menu,129-131 E 72ND ST,2021,20933.99,5002,129 E 72ND ST,131 E 72ND ST,41.76377463000006,-87.62058248999995,census,41.76377486400003,-87.62056841799995,census,1.1674233963643488,06032,32,2768931.62573,7045.14849662,6,1.1674233963643488,"c(-87.6205824899999, -87.6205684179999, 41.7637746300001, 41.763774864)"
